date,car_type,geo,total_trips
2017-01-10,Gett,airports,0.0
2017-01-10,Gett,manhattan,0.0
2017-01-10,Gett,manhattan_hub,0.0
2017-01-10,Gett,outer_boroughs_ex_airports,0.0
2017-01-10,Gett,total,0.0
2017-01-10,Green taxis,airports,9.0
2017-01-10,Green taxis,manhattan,7692.0
2017-01-10,Green taxis,manhattan_hub,4.0
2017-01-10,Green taxis,outer_boroughs_ex_airports,22391.0
2017-01-10,Green taxis,total,30122.0
2017-01-10,Juno,airports,0.0
2017-01-10,Juno,manhattan,0.0
2017-01-10,Juno,manhattan_hub,0.0
2017-01-10,Juno,outer_boroughs_ex_airports,0.0
2017-01-10,Juno,total,35114.0
2017-01-10,Lyft,airports,4195.0
2017-01-10,Lyft,manhattan,40563.0
2017-01-10,Lyft,manhattan_hub,28754.0
2017-01-10,Lyft,outer_boroughs_ex_airports,54332.0
2017-01-10,Lyft,total,99111.0
2017-01-10,Non-app FHVs,airports,488.0
2017-01-10,Non-app FHVs,manhattan,856.0
2017-01-10,Non-app FHVs,manhattan_hub,456.0
2017-01-10,Non-app FHVs,outer_boroughs_ex_airports,6030.0
2017-01-10,Non-app FHVs,total,70046.0
2017-01-10,Uber,airports,11040.0
2017-01-10,Uber,manhattan,151762.0
2017-01-10,Uber,manhattan_hub,108887.0
2017-01-10,Uber,outer_boroughs_ex_airports,168239.0
2017-01-10,Uber,total,331088.0
2017-01-10,Via,airports,202.0
2017-01-10,Via,manhattan,19812.0
2017-01-10,Via,manhattan_hub,12044.0
2017-01-10,Via,outer_boroughs_ex_airports,1478.0
2017-01-10,Via,total,21530.0
2017-01-10,Yellow taxis,airports,17381.0
2017-01-10,Yellow taxis,manhattan,243010.0
2017-01-10,Yellow taxis,manhattan_hub,170817.0
2017-01-10,Yellow taxis,outer_boroughs_ex_airports,8829.0
2017-01-10,Yellow taxis,total,273239.0
2017-01-11,Gett,airports,0.0
2017-01-11,Gett,manhattan,0.0
2017-01-11,Gett,manhattan_hub,0.0
2017-01-11,Gett,outer_boroughs_ex_airports,0.0
2017-01-11,Gett,total,0.0
2017-01-11,Green taxis,airports,13.0
2017-01-11,Green taxis,manhattan,10002.0
2017-01-11,Green taxis,manhattan_hub,0.0
2017-01-11,Green taxis,outer_boroughs_ex_airports,19359.0
2017-01-11,Green taxis,total,29433.0
2017-01-11,Juno,airports,0.0
2017-01-11,Juno,manhattan,0.0
2017-01-11,Juno,manhattan_hub,0.0
2017-01-11,Juno,outer_boroughs_ex_airports,0.0
2017-01-11,Juno,total,38686.0
2017-01-11,Lyft,airports,2641.0
2017-01-11,Lyft,manhattan,35380.0
2017-01-11,Lyft,manhattan_hub,25037.0
2017-01-11,Lyft,outer_boroughs_ex_airports,41894.0
2017-01-11,Lyft,total,79928.0
2017-01-11,Non-app FHVs,airports,593.0
2017-01-11,Non-app FHVs,manhattan,3799.0
2017-01-11,Non-app FHVs,manhattan_hub,2834.0
2017-01-11,Non-app FHVs,outer_boroughs_ex_airports,8835.0
2017-01-11,Non-app FHVs,total,91649.0
2017-01-11,Uber,airports,9614.0
2017-01-11,Uber,manhattan,151525.0
2017-01-11,Uber,manhattan_hub,109855.0
2017-01-11,Uber,outer_boroughs_ex_airports,151312.0
2017-01-11,Uber,total,312490.0
2017-01-11,Via,airports,76.0
2017-01-11,Via,manhattan,36063.0
2017-01-11,Via,manhattan_hub,20698.0
2017-01-11,Via,outer_boroughs_ex_airports,1573.0
2017-01-11,Via,total,37731.0
2017-01-11,Yellow taxis,airports,16950.0
2017-01-11,Yellow taxis,manhattan,300523.0
2017-01-11,Yellow taxis,manhattan_hub,204874.0
2017-01-11,Yellow taxis,outer_boroughs_ex_airports,7212.0
2017-01-11,Yellow taxis,total,330601.0
2017-01-12,Gett,airports,0.0
2017-01-12,Gett,manhattan,0.0
2017-01-12,Gett,manhattan_hub,0.0
2017-01-12,Gett,outer_boroughs_ex_airports,0.0
2017-01-12,Gett,total,0.0
2017-01-12,Green taxis,airports,11.0
2017-01-12,Green taxis,manhattan,11244.0
2017-01-12,Green taxis,manhattan_hub,7.0
2017-01-12,Green taxis,outer_boroughs_ex_airports,22648.0
2017-01-12,Green taxis,total,33947.0
2017-01-12,Juno,airports,0.0
2017-01-12,Juno,manhattan,0.0
2017-01-12,Juno,manhattan_hub,0.0
2017-01-12,Juno,outer_boroughs_ex_airports,0.0
2017-01-12,Juno,total,44676.0
2017-01-12,Lyft,airports,3272.0
2017-01-12,Lyft,manhattan,38812.0
2017-01-12,Lyft,manhattan_hub,27641.0
2017-01-12,Lyft,outer_boroughs_ex_airports,49721.0
2017-01-12,Lyft,total,91828.0
2017-01-12,Non-app FHVs,airports,723.0
2017-01-12,Non-app FHVs,manhattan,3287.0
2017-01-12,Non-app FHVs,manhattan_hub,2553.0
2017-01-12,Non-app FHVs,outer_boroughs_ex_airports,9401.0
2017-01-12,Non-app FHVs,total,95150.0
2017-01-12,Uber,airports,12161.0
2017-01-12,Uber,manhattan,200601.0
2017-01-12,Uber,manhattan_hub,144985.0
2017-01-12,Uber,outer_boroughs_ex_airports,193584.0
2017-01-12,Uber,total,406383.0
2017-01-12,Via,airports,79.0
2017-01-12,Via,manhattan,35678.0
2017-01-12,Via,manhattan_hub,20531.0
2017-01-12,Via,outer_boroughs_ex_airports,3219.0
2017-01-12,Via,total,38997.0
2017-01-12,Yellow taxis,airports,17274.0
2017-01-12,Yellow taxis,manhattan,323183.0
2017-01-12,Yellow taxis,manhattan_hub,220564.0
2017-01-12,Yellow taxis,outer_boroughs_ex_airports,7472.0
2017-01-12,Yellow taxis,total,353837.0
2017-01-13,Gett,airports,0.0
2017-01-13,Gett,manhattan,0.0
2017-01-13,Gett,manhattan_hub,0.0
2017-01-13,Gett,outer_boroughs_ex_airports,0.0
2017-01-13,Gett,total,9831.0
2017-01-13,Green taxis,airports,11.0
2017-01-13,Green taxis,manhattan,13253.0
2017-01-13,Green taxis,manhattan_hub,22.0
2017-01-13,Green taxis,outer_boroughs_ex_airports,27901.0
2017-01-13,Green taxis,total,41245.0
2017-01-13,Juno,airports,0.0
2017-01-13,Juno,manhattan,0.0
2017-01-13,Juno,manhattan_hub,0.0
2017-01-13,Juno,outer_boroughs_ex_airports,0.0
2017-01-13,Juno,total,22888.0
2017-01-13,Lyft,airports,1475.0
2017-01-13,Lyft,manhattan,17389.0
2017-01-13,Lyft,manhattan_hub,12394.0
2017-01-13,Lyft,outer_boroughs_ex_airports,21548.0
2017-01-13,Lyft,total,40420.0
2017-01-13,Non-app FHVs,airports,83.0
2017-01-13,Non-app FHVs,manhattan,280.0
2017-01-13,Non-app FHVs,manhattan_hub,164.0
2017-01-13,Non-app FHVs,outer_boroughs_ex_airports,6513.0
2017-01-13,Non-app FHVs,total,109181.0
2017-01-13,Uber,airports,11440.0
2017-01-13,Uber,manhattan,147808.0
2017-01-13,Uber,manhattan_hub,111051.0
2017-01-13,Uber,outer_boroughs_ex_airports,109644.0
2017-01-13,Uber,total,269449.0
2017-01-13,Via,airports,90.0
2017-01-13,Via,manhattan,24571.0
2017-01-13,Via,manhattan_hub,13727.0
2017-01-13,Via,outer_boroughs_ex_airports,112.0
2017-01-13,Via,total,24792.0
2017-01-13,Yellow taxis,airports,15109.0
2017-01-13,Yellow taxis,manhattan,315497.0
2017-01-13,Yellow taxis,manhattan_hub,217794.0
2017-01-13,Yellow taxis,outer_boroughs_ex_airports,8602.0
2017-01-13,Yellow taxis,total,344881.0
2017-01-14,Gett,airports,0.0
2017-01-14,Gett,manhattan,0.0
2017-01-14,Gett,manhattan_hub,0.0
2017-01-14,Gett,outer_boroughs_ex_airports,0.0
2017-01-14,Gett,total,10824.0
2017-01-14,Green taxis,airports,4.0
2017-01-14,Green taxis,manhattan,11196.0
2017-01-14,Green taxis,manhattan_hub,9.0
2017-01-14,Green taxis,outer_boroughs_ex_airports,31460.0
2017-01-14,Green taxis,total,42773.0
2017-01-14,Juno,airports,0.0
2017-01-14,Juno,manhattan,0.0
2017-01-14,Juno,manhattan_hub,0.0
2017-01-14,Juno,outer_boroughs_ex_airports,0.0
2017-01-14,Juno,total,26596.0
2017-01-14,Lyft,airports,1077.0
2017-01-14,Lyft,manhattan,21622.0
2017-01-14,Lyft,manhattan_hub,15815.0
2017-01-14,Lyft,outer_boroughs_ex_airports,26815.0
2017-01-14,Lyft,total,49536.0
2017-01-14,Non-app FHVs,airports,54.0
2017-01-14,Non-app FHVs,manhattan,127.0
2017-01-14,Non-app FHVs,manhattan_hub,78.0
2017-01-14,Non-app FHVs,outer_boroughs_ex_airports,6344.0
2017-01-14,Non-app FHVs,total,94604.0
2017-01-14,Uber,airports,7165.0
2017-01-14,Uber,manhattan,177640.0
2017-01-14,Uber,manhattan_hub,135358.0
2017-01-14,Uber,outer_boroughs_ex_airports,138130.0
2017-01-14,Uber,total,323573.0
2017-01-14,Via,airports,65.0
2017-01-14,Via,manhattan,17206.0
2017-01-14,Via,manhattan_hub,9671.0
2017-01-14,Via,outer_boroughs_ex_airports,158.0
2017-01-14,Via,total,17452.0
2017-01-14,Yellow taxis,airports,11264.0
2017-01-14,Yellow taxis,manhattan,314163.0
2017-01-14,Yellow taxis,manhattan_hub,229159.0
2017-01-14,Yellow taxis,outer_boroughs_ex_airports,9913.0
2017-01-14,Yellow taxis,total,342169.0
